valuation in MM,Name,Website,Description,Growth Score,Mindshare Score,Employee Count,Est. Monthly Uniques,Months Since Last Funding,Founded,Stage,Investors,Total Funding,Last Funding,Last Funding Amount,Location,City,Continent,Revenue Range,Business Models,Industries,Keywords
9796,LoyalBlocks,http://loyalblocks.com,Connect with your customers. A platform for local businesses that boosts customer loyalty and engagement through rewards and personalized communication.,-64,-64,25,5630,55,2011,Late,Founder Collective|Gemini Israel Ventures|General Catalyst Partners,18878570,8/21/13,6678570,New York,New York,North America,$1M - $5M,B2B,analytics|customer support|finance|marketing|marketing analytics|mobile|payments,
927,MineralTree,http://mineraltree.com,MineralTree is the best accounts payable and payments software. We can help you automate your whole invoice-to-pay process or simplify payments.,103,75,56,3154,37,2010,B,.406 Ventures|Fidelity Growth Partners India|First Data|fidelity growth partners global,18800000,2/11/15,11000000,Boston,Cambridge,North America,$5M - $10M,B2B,analytics|banking|enterprise software|finance|payments,
10869,Doxo,http://doxo.com,"doxo is the simple, secure way to pay your bill. Pay thousands of billers with just one login.",-55,-73,46,259723,51,2008,B,Bezos Expeditions|Mohr Davidow Ventures|Sigma Partners|Sigma West,18750000,12/24/13,3500000,Seattle,Seattle,North America,$5M - $10M,B2B,data storage|e-commerce|enterprise software|finance|information security|mobile|payments|security|storage,
778,Betable,http://betable.com,Betable is the first platform to enable developers to legally offer real-money play in their games and apps.,-43,-37,15,624,52,2009,A,Arjun Sethi|Auren Hoffman|BoxGroup|Bullpen Capital|CrunchFund|Dave Morin|Founders Fund|Gil Penchina|Greylock Partners|Joshua Schachter|Kevin Colleran|Lumia Capital|Morado Venture Partners|Paige Craig|Raymond Tonsing|Sands Capital Ventures|SierraMaya360|Slow Ventures|Social Leverage|Start Fund|Tekton Ventures|True Ventures|Venture51|Yuri Milner,18500000,11/5/13,18500000,Bay Area,San Francisco,North America,$5M - $10M,B2C,analytics|entertainment|gaming|marketing|marketing analytics|mobile|payments,gambling
9269,Cozy,http://cozy.co,Cozy makes renting easier for landlords and renters everywhere.,31,42,65,220750,18,2012,B,American Family Ventures|Brad Feld|Galvanize Ventures|Gary Vaynerchuk|General Catalyst Partners|Google Ventures|Jason Calacanis|Kevin Rose|Seven Peaks Ventures|Social Capital|Stewart Butterfield,18400000,8/30/16,8500000,Portland,Portland,North America,$5M - $10M,B2B|B2C,finance|information security|payments|real estate|security,property management
4445,PLASTIQ,http://plastiq.com,"Plastiq empowers cardholders to make payments for tuition, taxes, utility bills and more with their credit card of choice, enabling rewards, convenience and control.",-250,-282,55,106114,44,2012,B,Arizona Bay Technology Ventures|Atlas Venture|Flybridge Capital Partners|Greenoaks Capital Management|Khosla Ventures|NextView Ventures,18349996,7/15/14,10000000,Boston,Boston,North America,$5M - $10M,B2B|B2C,banking|consumer services|e-commerce|education|finance|mobile|payments,payments|small & medium sized business
3722,Origami,http://origami.co,"Origami allows users to follow their favorite retailers, receive updates on new releases in a personalized feed, and ultimately purchase products in-app or in-store.",157,11,120,58821,35,2012,B,Credit Saison|Digital Advertising Consortium|KDDI|Makonto Takano|SoftBank Group,18300000,4/8/15,13300000,Tokyo,Tokyo,Asia,,B2C,e-commerce|mobile|payments,location based services (lbs)|payments|social media
451,Bank of Georgetown,http://bankofgeorgetown.com,"United Bank offers personal banking, business banking, and wealth management services to meet your financial needs in WV, VA, MD, OH, PA, and DC",-35,0,47,26,51,2005,Late,,18000000,12/4/13,18000000,Washington D.C.,Washington D.C.,North America,$25M - $50M,B2B|B2C,banking|finance|payments,
9520,SPSCommerce,http://spscommerce.com,"Trust the most reliable, most used EDI platform in retail. Our solutions integrate seamlessly with your ERP or other systems. Automation + visibility.",869,68,1555,52918,178,,Exited (ipo),Adams Street Partners|River Cities Capital Funds|Space Center Ventures|Split Rock Partners,18000000,5/19/03,18000000,Minneapolis,Minneapolis,North America,$100M - $250M,B2B,payments,
228,SecureNet Payment Systems,http://securenet.com,We provide card processing services from card machines to online payments for businesses of all sizes. We also have partnership opportunities from integration to reseller.,-291,-262,40,106292,68,1997,Exited (acquired),Sterling Partners,18000000,7/24/12,18000000,Austin,Austin,North America,$25M - $50M,B2B|B2C,banking|e-commerce|finance|information security|mobile|payments|security,payments
42,Trusona,http://trusona.com,"rusona is the world's first authentication platform, designed to guarantee the true persona of verifiable users for the most sensitive online transactions. Backed by actuarial data, Trusona's solution is composed of in-person identity-proofing and distribution, NIST Level 4 authentication standards and patented anti-replay technology.",589,536,33,,9,2015,B,Kleiner Perkins Caufield & Byers|Microsoft Ventures,18000000,6/13/17,10000000,Phoenix,Scottsdale,North America,,B2B,data storage|enterprise software|information security|payments|security|storage,
955,COTA,http://oncota.com,Cota builds data and technology solutions that enable the delivery of precision medicine at scale using real-world evidence.,104,12,111,41,15,,A,Boston Millennia Partners,18000000,12/15/16,18000000,New York City,New York City,North America,$5M - $10M,B2B|B2C,biotechnology|healthcare|payments|pharmaceuticals,
958,Paymill,http://paymill.com,"PAYMILL offers you an online payment service, which makes the transactions in your online shop easy. Discover the innovative payment system from PAYMILL. | PAYMILL GmbH",-240,-250,47,324088,61,2012,Exited (acquired),Blumberg Capital|HV Holtzbrinck Ventures|Rocket Internet|Sunstone Capital|b-to-v Partners AG,18000000,2/15/13,5000000,Munich,Munich,Europe,,B2B|Subscription,finance|payments,payments
248,UnifiedPost,http://unifiedpost.com,UnifedPost offers a suite of integrated business process optimization solutions and services enabling clients to automate their entire business process cycles from the establishment of a contractual relationship all the way down to payment and collection.,122,-15,160,,26,2000,B,Cytiholding|Cytindus|Fortino|SmartFin Capital,17983900,1/15/16,10900000,La Hulpe,La Hulpe,Europe,$25M - $50M,B2B|SaaS,business process management|cloud computing|enterprise software|finance|payments|professional services,
93,mGage,http://mgage.com,"mGage brings 15+ years of global mobile marketing and mCRM experience to the industry across the U.S., U.K. and India. We empower customer interactions at all stages of the lifecycle, from acquisition through retention. Our unique data analytics platform provides insight that no other mobile marketing company can offer, measuring the full effectiveness of a campaign from pre to post click interactions. Our products & solutions are used by Fortune 1000 companies across the globe and we have global Omni channel connectivity. mGage was acquired by GSO Capital Partners LP, a division of Blackstone Group LP, in January 2014.",-314,-319,10,24466,122,,Exited (acquired),ComVentures|SoftBank Capital|Storm Ventures,17600000,1/23/08,12000000,Atlanta,Atlanta,North America,$50M - $100M,B2B,analytics|marketing|marketing analytics|mobile|payments,payments
194,PeerNova .,http://peernova.com,Welcome to PeerNova,149,128,29,688,16,2013,B,Ashar Aziz|Atiq Raza|Blockchain Capital|Mosaik Partners|Overstock|Pierre Lamond|Steve Case|Zhejiang Zhongnan Holdings Group,17600000,11/16/16,4000000,Bay Area,San Jose,North America,$5M - $10M,,data storage|enterprise software|healthcare|information security|payments|pharmaceuticals|security|storage,big data
16,Dream Payments,http://dreampayments.com,"Accept Interac(r) Debit, credit cards and even contactless payments with your mobile device and the Dream Payments debit and credit card reader.",144,69,47,42,12,2014,A,Blue Sky Capital|Connecticut Innovations|Fairfax Financial Holdings|Real Ventures|Rogue River Capital,17500000,3/8/17,10000000,Toronto,Toronto,North America,,B2B,banking|finance|information security|payments|security,
907,Sensibill,http://getsensibill.com,"Sensibill is a white-labeled SaaS built for banks. Customers can manage their receipts, track their spending, and submit expense reports from their mobile banking app.",74,-17,68,135,12,2013,A,Impression Ventures|Information Venture Partners|Mistral Venture Partners|Operative Capital|The OpenText Enterprise Apps Fund (OTEAF),17300000,3/2/17,17300000,Toronto,Toronto,North America,$5M - $10M,B2B,banking|customer support|finance|payments,big data
6,Karmic Labs,http://karmiclabs.com,"Offer your customers a Karmic solution to boost their business potential, with flexible distribution and pricing, and a range of customizable features.",-112,-112,0,310,8,2014,B,Camp One Ventures|Greycroft Partners,17200000,7/20/17,17200000,Bay Area,San Francisco,North America,,SaaS,banking|finance|human resources hr|mobile|payments,credit cards|payments
891,Qapital,http://qapital.com,Qapital is the everyday banking app that helps you save small to live large.,65,-22,52,8783,12,2012,A,Alejandro Zubillaga|Anthemis|Charles Noonan|Entree Capital|Exponential Ventures|Industrifonden|Marcus Siezing|Northzone|Peter Read|Rocketship.vc,17100000,3/6/17,12000000,New York,New York,North America,$5M - $10M,B2C,banking|mobile|payments,banking
1141,Spruce Health,http://sprucehealth.com,"Spruce is a digital care platform that makes collaborating around patients' needs simple, pleasant and efficient. Start now for free.",373,365,16,641,35,2013,A,Baseline Ventures|Cowboy Ventures|Google Ventures|Kleiner Perkins Caufield & Byers,17000000,3/31/15,15000000,Bay Area,San Francisco,North America,$5M - $10M,B2C|On-Demand,consumer services|fitness and wellness|healthcare|mobile|payments,
1296,Ifeelgoods,http://ifeelgoods.com,"Ifeelgoods' digital rewards platform enables brands to instantly reward their audiences with e-gifts through a variety of programs: e-Commerce, loyalty, CRM",-91,-91,13,21075,21,2010,B,David Scacco|IDInvest Partners|Iggy Fanlo|Kima Ventures|Quest Venture Partners|Tekton Ventures|Tugboat Ventures|Up Group,17000000,6/28/16,6000000,Palo Alto,Palo Alto,North America,$5M - $10M,B2B|B2C,advertising|analytics|e-commerce|enterprise software|gaming|marketing|marketing analytics|payments|retail,advertising network|loyalty / rewards|social gaming|virtual goods
24,Tally Technologies,http://meettally.com,"Tally Technologies help people maintain good credit while avoiding fees, charges and other credit card affiliated pains.",-44,-75,22,,22,2015,A,Accelerate-IT Advisors (AITA)|Cowboy Ventures|Shasta Ventures|Silicon Valley Bank,17000000,5/20/16,15000000,Bay Area,San Francisco,North America,,B2C,banking|finance|payments,
-3145,Fornova,http://fornova.com,Fornova's technology monitors your partners' and competitors' every move so you have real control over your rate parity.,-25,-30,100,4,10,2008,B,Deutsche Telekom Capital Partners|JAL Ventures|Waypoint Capital,17000000,5/2/17,17000000,Yokneam Ilit,Yokneam Ilit,Asia,$1M - $5M,B2B,advertising|analytics|marketing|marketing analytics|payments|travel,
38,Chime,http://chimecard.com,"Chime is a modern, mobile bank account",21,-63,52,19862,22,2013,B,Aspect Ventures|Crosslink Capital|Forerunner Ventures|Homebrew Ventures|PivotNorth Capital|Zander Lurie,17000000,5/19/16,9000000,Bay Area,San Francisco,North America,,B2B|B2C,banking|finance|mobile|payments,payments
3303,Ease Entertainment Services,http://easeentertainment.com,Reinventing how the Entertainment Industry works and interacts to make production simple.,135,135,60,72,40,2008,Late,,17000000,11/4/14,17000000,Los Angeles,Burbank,North America,$100M - $250M,B2B,data storage|hardware|hardware peripherals|information security|payments|security|storage,
940,Kantox,http://kantox.com,Kantox is a multinational fintech company offering FX management solutions. Technology and expertise to solve your currency-related business problems,92,48,90,54098,7,2011,B,Cabiedes & Partners|Carlos Blanco|Francois Derbaix|IDInvest Partners|KOMM Investment|Marek Fodor|Partech Ventures|SeedRocket,16989177,8/5/17,5989177,London,London,Europe,$5M - $10M,B2B,banking|finance|payments,
137,BevSpot,http://bevspot.com,BevSpot makes a web-based system that helps restaurants and bars take inventory of their liquor and bar supplies,88,153,48,1642,20,2014,B,Accanto Partners|Ajay Agrawal|Bain Capital Ventures|Bob Doris|Domonique Foxworth|Dorm Room Fund,16970000,7/7/16,11000000,Boston,Boston,North America,$5M - $10M,B2B,food & beverages|payments,alcohol
64,PayClip,http://clip.mx,"Clip allows any individual or business to take all card payments available in Mexico via its proprietary card reader and Apps for Android devices, iPad and iPhone.",-196,-392,124,46499,27,2012,B,Accion|Alta Partners|Alta Ventures Mexico|American Express Ventures|Karl Mehta|Sierra Ventures|Venture Lab,16825000,12/6/15,8000000,Bay Area,Redwood City,North America,$5M - $10M,B2C,e-commerce|mobile|payments,
205,truRating,http://trurating.com,"truRating is a point-of-payment rating system, asking customers a single, anonymous question on the payment terminal when they pay.",26,-25,78,726,19,2012,A,Sandaire,16800000,8/1/16,12600000,London,London,Europe,,B2B,customer support|payments,
2016,Netsize,http://netsize.com,"Netsize, a Gemalto company, provides micropayment solutions and messaging services for mobile operators.",42,20,202,22268,136,1998,Late,123 Venture|Global Retail Partners|Partech Ventures|Rothschild|Upfront Ventures,16780000,11/6/06,16780000,Meudon,Meudon,Europe,$10M - $25M,B2B,advertising|banking|consumer services|enterprise software|marketing|mobile|payments,mobile marketing|mobile payments|payments|sms
